City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Hithadhoo,MV,2022-06-16 04:20:59,-0.6,73.0833,81.97,72,97,4.18
113,Kingisepp,RU,2022-06-16 04:21:00,59.3733,28.6134,54.66,76,7,9.95
114,Itaituba,BR,2022-06-16 04:21:00,-4.2761,-55.9836,70.61,99,6,0.98
115,Pahrump,US,2022-06-16 04:19:14,36.2083,-115.9839,84.94,10,0,1.01
116,Jamestown,US,2022-06-16 04:16:19,42.097,-79.2353,76.05,90,55,5.19
117,Saskylakh,RU,2022-06-16 04:21:01,71.9167,114.0833,55.71,32,11,6.02
118,Bathsheba,BB,2022-06-16 04:21:01,13.2167,-59.5167,83.01,83,75,18.41
119,Katsuura,JP,2022-06-16 04:21:02,35.1333,140.3,69.82,82,100,14.83
120,Saint George,US,2022-06-16 04:21:02,37.1041,-113.5841,90.19,16,0,5.75
121,Esperance,AU,2022-06-16 04:21:03,-33.8667,121.9,65.73,55,0,7.45
122,Roanne,FR,2022-06-16 04:21:03,46.0,4.0,61.34,57,58,2.66
123,Vanderhoof,CA,2022-06-16 04:21:04,54.0166,-124.0198,54.55,86,100,2.91
124,Tommot,RU,2022-06-16 04:21:04,58.9564,126.2925,72.57,41,14,2.8
125,Cherskiy,RU,2022-06-16 04:21:05,68.75,161.3,62.65,21,15,12.1
126,Kirakira,SB,2022-06-16 04:21:05,-10.4544,161.9205,83.07,75,96,9.71
127,Teknaf,BD,2022-06-16 04:21:06,20.8624,92.3058,78.35,92,100,10.85
128,Georgetown,MY,2022-06-16 04:21:06,5.4112,100.3354,87.73,70,20,6.91
129,Iquique,CL,2022-06-16 04:21:07,-20.2208,-70.1431,60.84,83,67,4.0
130,Ust-Nera,RU,2022-06-16 04:21:07,64.5667,143.2,60.53,56,99,4.81
131,Tamuin,MX,2022-06-16 04:21:07,21.9833,-98.75,74.77,91,87,5.5
132,Puerto Escondido,MX,2022-06-16 04:21:08,15.85,-97.0667,76.03,73,100,5.75
133,Nikolskoye,RU,2022-06-16 04:21:08,59.7035,30.7861,57.79,83,12,10.67
