City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.94,47,45,7.34,scattered clouds
255,Mayo,US,38.8876,-76.5119,86.94,74,99,4.0,overcast clouds
256,Palafrugell,ES,41.9174,3.1631,85.33,50,75,8.77,broken clouds
257,Roebourne,AU,-20.7833,117.1333,72.84,53,47,6.82,scattered clouds
258,Dunedin,NZ,-45.8742,170.5036,39.79,78,70,3.96,broken clouds
259,Sabzevar,IR,36.2126,57.6819,80.15,34,0,21.43,clear sky
260,Mecca,SA,21.4267,39.8261,87.03,35,16,5.73,few clouds
261,Ahipara,NZ,-35.1667,173.1667,54.64,89,100,4.05,overcast clouds
262,Castro,BR,-24.7911,-50.0119,64.47,73,0,1.63,clear sky
263,Upornaya,RU,44.3914,41.0196,58.95,76,36,2.98,scattered clouds
264,Mosquera,CO,4.7059,-74.2302,60.89,75,77,4.76,light rain
265,Rania,IN,29.5333,74.8333,96.03,31,2,6.49,clear sky
266,Zaozerne,UA,45.1582,33.2787,65.91,61,6,8.19,clear sky
267,Broken Hill,AU,-31.95,141.4333,54.9,53,97,7.43,overcast clouds
268,Waipawa,NZ,-41.4122,175.5153,48.67,83,94,8.25,overcast clouds
269,Zabol,AF,32.25,67.25,75.31,9,0,9.98,clear sky
270,Baft,IR,29.234,56.6057,75.24,23,1,3.09,clear sky
271,Nome,US,64.5011,-165.4064,50.11,73,38,5.97,scattered clouds
272,Morgan City,US,29.6994,-91.2068,96.01,44,52,2.15,broken clouds
273,Arequipa,PE,-16.3989,-71.535,63.34,23,0,7.85,clear sky
274,Auki,SB,-8.7676,160.7034,76.55,89,100,3.65,overcast clouds
275,Belyy Yar,RU,53.6039,91.3903,55.85,78,0,4.47,clear sky
276,Kautokeino,NO,69.0125,23.0412,44.06,73,31,9.57,scattered clouds
277,Nicoya,CR,10.1483,-85.452,81.84,70,98,4.94,overcast clouds
278,Belogorsk,RU,50.9158,128.4611,55.96,97,100,8.86,overcast clouds
279,Karata,RU,42.5949,46.3393,55.13,93,58,0.78,broken clouds
280,Jizan,SA,17.3333,42.6667,88.84,66,72,2.68,broken clouds
281,Talara,PE,-4.5772,-81.2719,75.96,60,9,20.71,dust
282,Gushikawa,JP,26.3544,127.8686,76.23,94,100,8.48,overcast clouds
283,Lagos,NG,6.5833,3.75,77.32,91,100,8.72,overcast clouds
284,Payo,ID,-3.7508,103.6372,72.21,98,100,1.99,overcast clouds
285,La Libertad,EC,-2.2333,-80.9,72.37,77,55,11.68,broken clouds
286,Estelle,US,29.8458,-90.1067,97.0,56,20,6.91,few clouds
287,Skegness,GB,53.1436,0.3363,69.82,79,100,9.82,overcast clouds
288,Sioux Lookout,CA,50.1001,-91.917,64.47,77,40,13.8,scattered clouds
289,Karatau,KZ,43.1667,70.4667,72.48,37,73,4.79,broken clouds
290,Lundamo,NO,63.1333,10.3,52.47,94,97,2.1,overcast clouds
291,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,75,13.8,broken clouds
292,Flinders,AU,-34.5833,150.8552,53.26,77,26,4.0,scattered clouds
293,Ballina,AU,-28.8667,153.5667,52.02,84,0,7.87,clear sky
294,Vuktyl,RU,63.8567,57.3094,61.95,94,100,6.87,light rain
295,Karasburg,NA,-28.0167,18.75,56.05,25,3,7.63,clear sky
296,Griffith,US,41.5284,-87.4237,96.26,29,0,24.16,clear sky
297,Payakumbuh,ID,-0.2202,100.6308,70.23,99,100,1.99,overcast clouds
298,Santa Eulalia,PE,-11.85,-76.6833,38.48,41,0,8.88,clear sky
299,Phan Thiet,VN,10.9333,108.1,77.14,87,94,3.29,overcast clouds
300,Scalea,IT,39.813,15.7956,74.66,71,0,6.13,clear sky
301,Luoyang,CN,34.6836,112.4536,83.08,32,0,6.04,clear sky
302,Paralimni,CY,35.0375,33.9833,79.68,73,0,8.01,clear sky
303,Talas,TR,38.6908,35.5538,63.27,68,0,4.61,clear sky
304,Half Moon Bay,US,37.4636,-122.4286,79.05,64,0,23.02,clear sky
305,Gbadolite,CD,4.2833,21.0167,73.72,82,94,3.4,overcast clouds
306,Reinosa,ES,42.9996,-4.138,63.46,71,37,5.01,scattered clouds
307,Larsnes,NO,62.2028,5.5773,58.44,92,96,7.45,overcast clouds
308,La Solana,ES,38.9442,-3.2381,80.8,35,100,7.96,overcast clouds
309,Banka,IN,24.8833,86.9167,86.94,61,99,4.72,overcast clouds
310,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.96,74,0,12.48,clear sky
311,Dalnerechensk,RU,45.9339,133.7225,56.41,94,55,3.74,broken clouds
312,Lukovetskiy,RU,64.2956,41.9211,53.28,94,100,7.7,overcast clouds
313,Zhigalovo,RU,54.8097,105.1578,59.07,93,80,1.68,light rain
314,Tasiilaq,GL,65.6145,-37.6368,41.16,96,100,2.01,light rain
315,Thinadhoo,MV,0.5333,72.9333,83.39,73,100,10.16,light rain
316,Havre,FR,49.5833,0.3333,72.0,56,0,6.91,clear sky
317,Mirabad,AF,30.4362,61.8383,98.13,8,0,9.24,clear sky
318,Yar-Sale,RU,66.8333,70.8333,47.95,60,23,11.95,few clouds
319,Brzesko,PL,49.9691,20.6061,62.58,88,100,4.85,overcast clouds
320,Hoquiam,US,46.9809,-123.8893,61.84,78,75,14.97,broken clouds
